season,name,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,tb,gdp,hbp,sh,sf,ibb,ops_plus,war,roba,rbat_plus
2001,Team Totals,162,6169,5493,758,1399,264,27,206,714,89,42,519,1062,.255,.323,.425,.748,2335,115,56,57,44,45,99,17.4,.332,99
2000,Team Totals,162,6312,5481,798,1408,265,28,211,756,95,42,668,1083,.257,.341,.431,.771,2362,129,51,66,46,42,99,21.9,.349,100
1999,Team Totals,162,6338,5567,793,1480,253,23,187,761,167,68,594,1030,.266,.339,.420,.760,2340,109,52,74,51,34,96,20.2,.346,97
1998,Team Totals,162,6077,5459,669,1374,209,27,159,630,137,53,447,1056,.252,.310,.387,.698,2114,98,36,91,43,31,87,10.1,.321,87
1997,Team Totals,162,6216,5544,742,1488,242,33,174,706,131,64,498,1079,.268,.330,.418,.748,2318,109,33,105,36,46,101,17.7,.342,102
1996,Team Totals,162,6185,5538,703,1396,215,33,150,661,124,40,516,1190,.252,.316,.384,.701,2127,112,22,74,35,59,90,9.9,.321,89
1995,Team Totals,144,5544,4942,634,1303,191,31,140,593,127,45,468,1023,.264,.329,.400,.729,1976,99,30,68,35,46,99,18.2,.333,100
1994,Team Totals,114,4371,3904,532,1055,160,29,115,505,74,37,366,687,.270,.333,.414,.748,1618,89,19,51,31,33,99,8.5,.337,99
1993,Team Totals,162,6261,5588,675,1458,234,28,130,639,126,61,492,937,.261,.321,.383,.704,2138,105,27,107,47,48,93,8.5,.325,93
1992,Team Totals,162,6038,5368,548,1333,201,34,72,499,142,78,503,899,.248,.313,.339,.652,1818,111,24,102,40,36,86,1.6,.309,86
1991,Team Totals,162,6159,5408,665,1366,191,29,108,605,126,68,583,957,.253,.326,.359,.685,1939,109,28,94,46,50,95,17.9,.324,96
1990,Team Totals,162,6179,5491,728,1436,222,27,129,669,141,65,538,952,.262,.328,.382,.711,2099,110,31,71,48,78,98,22.5,.329,99
1989,Team Totals,160,6124,5465,554,1313,241,17,89,513,81,54,507,885,.240,.306,.339,.645,1855,98,27,83,41,77,86,12.1,.302,84
1988,Team Totals,162,6045,5431,628,1346,217,25,99,587,131,46,437,947,.248,.305,.352,.657,1910,118,32,95,50,65,90,19.8,.311,90
1987,Team Totals,162,6114,5517,635,1389,236,23,125,594,128,59,445,923,.252,.309,.371,.680,2046,126,31,82,39,70,81,5.6,.312,79
1986,Team Totals,162,6101,5471,638,1373,232,14,130,599,155,67,478,966,.251,.313,.370,.683,2023,109,32,81,39,58,94,14.4,.320,95
1985,Team Totals,162,6224,5502,682,1434,226,28,129,632,136,58,539,846,.261,.328,.382,.710,2103,108,31,104,46,69,102,30.0,.331,102
1984,Team Totals,162,6042,5399,580,1316,213,23,102,530,109,69,488,829,.244,.306,.348,.654,1881,120,14,92,48,56,86,11.0,.310,84
1983,Team Totals,163,6130,5440,654,1358,197,34,146,613,166,76,541,925,.250,.318,.379,.697,2061,112,22,86,40,61,94,18.3,.328,94
1982,Team Totals,162,6361,5642,691,1487,222,32,138,661,151,56,528,804,.264,.327,.388,.715,2187,98,30,106,55,83,102,29.1,.335,101
1981,Team Totals,110,4189,3751,450,984,133,20,82,427,73,46,331,550,.262,.323,.374,.697,1403,83,17,62,27,38,101,18.8,.333,103
1980,Team Totals,163,6221,5568,663,1462,209,24,148,638,123,72,492,846,.263,.323,.388,.711,2163,108,24,96,41,52,99,26.7,.333,100
1979,Team Totals,162,6188,5490,739,1443,220,24,183,713,106,46,556,834,.263,.331,.412,.743,2260,145,23,83,36,62,103,22.4,.342,102
1978,Team Totals,162,6225,5437,727,1435,251,27,149,686,137,52,610,818,.264,.338,.402,.740,2187,101,20,111,47,76,108,33.0,.348,109
1977,Team Totals,162,6328,5589,769,1484,223,28,191,729,114,62,588,896,.266,.336,.418,.753,2336,103,23,83,44,67,102,26.8,.345,102
1976,Team Totals,162,6125,5472,608,1371,200,34,91,561,144,55,486,744,.251,.313,.349,.662,1912,129,29,91,47,71,90,24.6,.323,91
1975,Team Totals,162,6246,5453,648,1355,217,31,118,606,138,52,611,825,.248,.325,.365,.690,1988,123,31,104,47,72,96,31.8,.334,97
1974,Team Totals,162,6332,5557,798,1511,231,34,139,744,149,75,597,820,.272,.342,.401,.743,2227,117,28,86,64,95,112,37.7,.353,113
1973,Team Totals,162,6267,5604,675,1473,219,29,110,623,109,50,497,795,.263,.323,.371,.694,2080,123,28,81,57,92,96,27.6,.327,96
1972,Team Totals,155,5904,5270,584,1349,178,39,98,543,82,39,480,786,.256,.319,.360,.679,1899,121,24,89,40,53,95,20.7,.322,94
1971,Team Totals,162,6156,5523,663,1469,213,38,95,631,76,40,489,755,.266,.325,.370,.695,2043,140,21,72,50,62,102,27.8,.327,103
1970,Team Totals,161,6293,5606,749,1515,233,67,87,695,138,57,541,841,.270,.334,.382,.717,2143,113,24,72,50,67,96,30.8,.335,97
1969,Team Totals,162,6167,5532,645,1405,185,52,97,584,80,51,484,823,.254,.315,.359,.673,1985,110,21,96,33,63,95,27.4,.321,96
1968,Team Totals,162,5935,5354,470,1234,202,36,67,434,57,43,439,980,.230,.289,.319,.608,1709,89,18,79,45,61,90,14.2,.287,87
1967,Team Totals,162,6110,5456,519,1285,203,38,82,465,56,47,485,881,.236,.301,.332,.633,1810,133,43,91,35,75,89,13.4,.297,89
1966,Team Totals,162,6067,5471,606,1399,201,27,108,565,94,64,430,830,.256,.314,.362,.675,1978,117,49,84,32,54,95,22.6,.313,96
1965,Team Totals,162,6108,5425,608,1329,193,32,78,548,172,77,492,891,.245,.312,.335,.647,1820,79,52,103,35,57,89,28.1,.305,89
1964,Team Totals,164,6121,5499,614,1375,180,39,79,555,141,60,438,893,.250,.305,.340,.645,1870,105,19,120,44,55,88,22.2,.305,87
1963,Team Totals,163,6045,5428,640,1361,178,34,110,584,124,70,453,867,.251,.309,.357,.666,1937,121,26,85,53,47,99,24.6,.313,97
1962,Team Totals,165,6363,5628,842,1510,192,65,140,781,198,43,572,886,.268,.337,.400,.737,2252,126,32,83,47,65,103,31.6,.347,103
1961,Team Totals,154,5940,5189,735,1358,193,40,157,673,86,45,596,796,.262,.338,.405,.743,2102,117,23,96,36,53,91,16.2,.345,92
1960,Team Totals,154,5936,5227,662,1333,216,38,126,606,95,53,529,837,.255,.324,.383,.707,2003,108,27,102,50,46,89,22.5,.330,88
1959,Team Totals,156,6034,5282,705,1360,196,46,148,667,84,51,591,891,.257,.334,.396,.730,2092,115,28,100,32,61,89,17.5,.335,87
1958,Team Totals,154,5804,5173,668,1297,166,50,172,627,73,47,495,850,.251,.317,.402,.719,2079,132,25,68,43,22,86,10.6,.331,85
